No	Name	Latitude	Longitude	Radius	Utils	AR	A	B
1	나비	37.504877800000	127.060738500000	25	butterfly	TRUE	-1	-1
2	북극곰	37.505919600000	127.059019500000	25	bear	TRUE	-1	-1
3	고래	37.506031000000	127.058292000000	25	whale	TRUE	-1	-1
4	거북이	37.505922300000	127.057652900000	25	turtle	TRUE	-1	-1
5	튤립	37.504857400000	127.058273900000	25	tulip	TRUE	-1	-1
6	입구1	37.503575300000	127.060580500000	40	gate1	FALSE	-1	-1
7	입구2	37.504780300000	127.061112500000	40	gate2	FALSE	-1	-1
8	입구3	37.505928300000	127.061618500000	40	gate3	FALSE	-1	-1
9	입구4	37.507416300000	127.059898500000	40	gate4	FALSE	-1	-1
10	입구5	37.508039300000	127.057824500000	40	gate5	FALSE	-1	-1
11	입구9	37.504944300000	127.054970500000	40	gate9	FALSE	-1	-1
12	입구15	37.502762300000	127.061707500000	40	gate15	FALSE	-1	-1
13	입구16	37.503093300000	127.060376500000	40	gate16	FALSE	-1	-1
14	화장실1	37.503966300000	127.060219500000	40	restroom	FALSE	-1	-1
15	화장실2	37.506974300000	127.059835500000	40	restroom	FALSE		-1
16	화장실3	37.505586300000	127.056327500000	40	restroom	FALSE	-1	-1
17	화장실4	37.504243300000	127.058005500000	40	restroom	FALSE	-1	-1
18	급수대1	37.503966300000	127.060219500000	40	water	FALSE		-1
19	급수대2	37.506097300000	127.060388500000	40	water	FALSE		
20	급수대3	37.506959300000	127.059266500000	40	water	FALSE		-1
21	급수대4	37.507343300000	127.057686500000	40	water	FALSE	-1	
22	급수대5	37.504352300000	127.057985500000	40	water	FALSE	-1	-1
23	급수대6	37.504602300000	127.058680500000	40	water	FALSE	-1	-1
24	안내소1	37.503966300000	127.060219500000	40	info	FALSE		
25	안내소2	37.505796300000	127.061353500000	40	info	FALSE		
26	수유실1	37.503966300000	127.060219500000	40	nursingroom	FALSE	-1	
27	수유실2	37.505586300000	127.056327500000	40	nursingroom	FALSE	-1	
28	의료실1	37.503966300000	127.060219500000	40	medical	FALSE		
29	유모차대여소1	37.503966300000	127.060219500000	40	stroller	FALSE	-1	
30	카트대여소1	37.503966300000	127.060219500000	40	cart	FALSE		
31	휴지통1	37.506974300000	127.059835500000	40	trashcan	FALSE		
32	휴지통2	37.506604300000	127.057231500000	40	trashcan	FALSE	-1	-1
33	휴지통3	37.506077300000	127.059502500000	40	trashcan	FALSE	-1	-1
34	휴지통4	37.505696300000	127.060678500000	40	trashcan	FALSE		
35	휴지통5	37.505484300000	127.061163500000	40	trashcan	FALSE		
36	휴지통6	37.505951300000	127.057206500000	40	trashcan	FALSE	-1	-1
37	휴지통7	37.505488300000	127.058384500000	40	trashcan	FALSE	-1	-1
38	휴지통8	37.505537300000	127.059392500000	40	trashcan	FALSE	-1	-1
39	휴지통9	37.505010300000	127.059582500000	40	trashcan	FALSE		-1
40	휴지통10	37.504936300000	127.060357500000	40	trashcan	FALSE		-1
41	휴지통11	37.505595300000	127.055940500000	40	trashcan	FALSE		-1
42	휴지통12	37.504594300000	127.057321500000	40	trashcan	FALSE	-1	-1
43	휴지통13	37.504305300000	127.057993500000	40	trashcan	FALSE	-1	-1
44	휴지통14	37.504300300000	127.058732500000	40	trashcan	FALSE	-1	-1
45	휴지통15	37.504848300000	127.058850500000	40	trashcan	FALSE	-1	-1
46	휴지통16	37.504262300000	127.059621500000	40	trashcan	FALSE	-1	-1
47	휴지통17	37.503966300000	127.060219500000	40	trashcan	FALSE	-1	-1
48	어린이정원	37.506736300000	127.056776500000	40	childrengarden	FALSE	6	
49	메타세콰이어길	37.506684300000	127.058337500000	40	metastreet	FALSE	5	5
50	도시락정원	37.506247300000	127.059177500000	40	lunchgarden	FALSE	4	
51	가족마당	37.505996300000	127.057886500000	40	familyyard	FALSE	7	6
52	바닥분수	37.505054300000	127.060155500000	40	floorfountain	FALSE	3	2
53	거울연못	37.505131300000	127.059432500000	40	winterpond	FALSE	2	4
54	모래놀이터	37.504959300000	127.058859500000	40	sandplayground	FALSE	1	
55	물놀이터	37.504814300000	127.057802500000	40	waterplayground	FALSE	8	
56	숲속놀이터	37.504327300000	127.057759500000	40	forestplayground	FALSE	9	
57	방문자센터	37.503966300000	127.060219500000	40	visitorcenter	FALSE	0	0
59	은행나무숲	37.506240300000	127.055550500000	40	ginkgoforest	FALSE		7
60	수변쉼터	37.505287300000	127.056615500000	40	watersideshelter	FALSE		8
61	설렘정원	37.504187300000	127.059179500000	40	excitementgarden	FALSE		9
62	조각정원	37.505329300000	127.059510500000	40	sculpturegarden	FALSE		3
63	군마상	37.504941300000	127.060551500000	40	warhorse	FALSE		1
64	서울숲카페거리	37.508018300000	127.059044500000	40	cafestreet	FALSE		